data\f88.txtOf 37505 Letters ,Of 14520 Digits ,and 18705 rest  
data\f86.txtOf 48209 Letters ,Of 18475 Digits ,and 24086 rest  
data\f91.txtOf 5108 Letters ,Of 2031 Digits ,and 2616 rest  
data\f67.txtOf 86821 Letters ,Of 33611 Digits ,and 43542 rest  
data\f89.txtOf 58059 Letters ,Of 22228 Digits ,and 28698 rest  
data\f90.txtOf 90439 Letters ,Of 35065 Digits ,and 45697 rest  
data\f94.txtOf 81622 Letters ,Of 31335 Digits ,and 40859 rest  
data\f92.txtOf 85129 Letters ,Of 32434 Digits ,and 42444 rest  
data\f95.txtOf 76071 Letters ,Of 28883 Digits ,and 38231 rest  
data\f96.txtOf 79383 Letters ,Of 30842 Digits ,and 40030 rest  
data\f75.txtOf 80642 Letters ,Of 30992 Digits ,and 40333 rest  
data\f97.txtOf 105804 Letters ,Of 40917 Digits ,and 52987 rest  
data\f98.txtOf 84825 Letters ,Of 32736 Digits ,and 42481 rest  
data\f99.txtOf 19179 Letters ,Of 7211 Digits ,and 9649 rest  
data\f84.txtOf 93233 Letters ,Of 35838 Digits ,and 46729 rest  
data\f93.txtOf 58719 Letters ,Of 22597 Digits ,and 29435 rest  
